gate_id,gate_name,modality,evaluation_status,evaluator_script,key_metrics,notes
G0,DAB_Baseline_Audit,brightfield_dab,PASS,tests/verify_synthetic_output.R,"100% table & QC schema integrity","Baseline v2.2.2 established from clean tag checkout"
G1,IF_Input_and_IO,immunofluorescence,PASS_WITH_WARNINGS,scripts/verify_if_io_bitdepth_contract.R,"Standard TIFF/ImageJ parser; 8/16/32-bit and 12-bit-in-16-bit-container values passed","OME-XML metadata-aware axes and packed native-12-bit TIFF remain experimental"
G2,IF_Preprocessing_Saturation,immunofluorescence,PASS,scripts/if_preprocessing.R,"Top-hat/Rolling Ball background, saturation QC","HIGH_SATURATION flag automated alert"
G3,IF_Segmentation,immunofluorescence,PASS_WITH_WARNINGS,scripts/benchmark_bbbc039_segmentation.R,"Six nuclei after reviewed artifact exclusion; LOW_CELL_COUNT warning retained","The previous full-canvas tissue mask was removed; public teaching image is not a biological benchmark"
G4,IF_Four_Compartment_Quantification,immunofluorescence,PASS,scripts/run_if_quantification.R,"Four compartments quantified; empty targets non-evaluable","Zero-valued empty channels are no longer treated as 100% positive"
G5,IF_QC_Overview_and_Figures,immunofluorescence,PASS_WITH_WARNINGS,scripts/if_qc_helpers.R,"Repaired 8-panel QC and explicit gray excluded ROI rendered","Biological/manual review remains required"
G6,IF_Colocalization,immunofluorescence,PASS,tests/verify_if_advanced_modules.R,"r: 0.852 vs -0.988, M1: 1.000 vs 0.023, M2: 1.000 vs 0.025","Current deterministic fixture; Pearson & Manders dual verification with spatial disclaimer"
G7,IF_Puncta_Foci_Detection,immunofluorescence,PASS_WITH_WARNINGS,tests/verify_if_advanced_modules.R,"Synthetic aggregate counts GT5=45->Det=43; GT15=135->Det=134","Coordinate-level detector precision/recall/F1 are not validated by the current fixture"
G8,Public_Benchmark_Datasets,both,PASS_WITH_WARNINGS,scripts/benchmark_bbbc039_segmentation.R,"BBBC039 official validation split: Dice=0.8953; IoU=0.8390; precision=0.9106; recall=0.8254; F1=0.8919; count error=13.0%","Color-instance decoding and one-to-one matching; one validation image has no decoded GT objects; ImageJ teaching image remains non-biological"
G9,DAB_Backward_Compatibility,brightfield_dab,PASS,tests/verify_backward_compatibility.R,"Max absolute numerical delta <= 1.0e-06; structural and character fields exact","Cross-platform numerical compatibility against clean v2.2.2 checkout; bounded floating-point drift permitted"
G10,Cross_Platform_CI,both,PASS,.github/workflows/ci.yml,"Exact main@ec0902d static, Ubuntu, Windows, and IF I/O contract jobs passed","Actions run 32555682952: https://github.com/Potato-AI0815/ihc-quantification-skill/actions/runs/32555682952"
